lat,long
13.3498041,74.7915985
lat,long
13.3498039,74.7915985
lat,long
13.3498059,74.7915999
lat,long
13.3498096,74.7916023
lat,long
13.349814,74.7916044
lat,long
13.3498186,74.7916061
lat,long
13.3498233,74.7916079
lat,long
13.3498281,74.7916099
lat,long
13.3498327,74.7916111
lat,long
13.3498368,74.7916116
lat,long
13.3498412,74.7916121
lat,long
13.3498456,74.7916127
lat,long
13.3498505,74.7916135
lat,long
13.3498554,74.7916138
lat,long
13.3498601,74.7916138
lat,long
13.349864,74.7916139
lat,long
13.3498682,74.7916137
lat,long
13.3498738,74.7916139
lat,long
13.3498787,74.7916139
lat,long
13.349879,74.7916137
lat,long
13.34988,74.7916129
lat,long
13.3498852,74.7916116
lat,long
13.3498912,74.7916111
lat,long
13.3498958,74.7916117
lat,long
13.3498984,74.7916128
lat,long
13.3499019,74.7916129
lat,long
13.3499064,74.7916117
lat,long
13.3499108,74.79161
lat,long
13.3499153,74.7916082
lat,long
13.34992,74.7916063
lat,long
13.3499223,74.7916052
lat,long
13.3499225,74.791605
lat,long
13.3499225,74.7916049
lat,long
13.3499226,74.7916049
lat,long
13.3499226,74.7916049
lat,long
13.3499227,74.7916048
lat,long
13.3499226,74.7916047
lat,long
13.3499226,74.7916045
lat,long
13.3499226,74.7916044
lat,long
13.3499226,74.7916042
lat,long
13.3499226,74.7916041
lat,long
13.3499226,74.791604
lat,long
13.3499226,74.7916039
lat,long
13.3499227,74.7916038
lat,long
13.349923,74.7916038
lat,long
13.3499231,74.7916038
lat,long
13.3499232,74.7916038
lat,long
13.3499234,74.7916037
lat,long
13.3499235,74.7916038
lat,long
13.3499237,74.7916037
lat,long
13.3499237,74.7916039
lat,long
13.3499237,74.7916038
lat,long
13.3499235,74.791604
lat,long
13.3499233,74.7916042
lat,long
13.3499232,74.7916046
lat,long
13.349923,74.7916049
lat,long
13.349923,74.7916051
lat,long
13.3499229,74.7916053
lat,long
13.3499229,74.7916052
lat,long
13.3499229,74.7916051
lat,long
13.3499229,74.791605
lat,long
13.3499228,74.7916049
lat,long
13.3499227,74.7916048
lat,long
13.3499227,74.7916047
lat,long
13.3499226,74.7916046
lat,long
13.3499226,74.7916044
lat,long
13.3499225,74.7916044
lat,long
13.3499223,74.7916044
lat,long
13.3499222,74.7916044
lat,long
13.3499221,74.7916044
lat,long
13.3499219,74.7916044
lat,long
13.3499218,74.7916043
lat,long
13.3499216,74.7916044
lat,long
13.3499214,74.7916043
lat,long
13.3499212,74.7916043
lat,long
13.3499211,74.7916043
lat,long
13.349921,74.7916043
lat,long
13.3499208,74.7916042
lat,long
13.3499204,74.7916042
lat,long
13.3499202,74.7916041
lat,long
13.34992,74.7916042
lat,long
13.3499199,74.7916041
lat,long
13.3499198,74.791604
lat,long
13.3499197,74.791604
lat,long
13.3499196,74.7916039
lat,long
13.3499195,74.7916039
lat,long
13.3499194,74.7916038
lat,long
13.3499193,74.7916037
lat,long
13.3499192,74.7916037
lat,long
13.3499192,74.7916036
lat,long
13.3499191,74.7916036
lat,long
13.349919,74.7916035
lat,long
13.3499189,74.7916034
lat,long
13.3499188,74.7916034
lat,long
13.3499186,74.7916034
lat,long
13.3499186,74.7916034
lat,long
13.3499183,74.7916035
lat,long
13.3499181,74.7916035
lat,long
13.3499179,74.7916037
lat,long
13.3499177,74.7916038
lat,long
13.3499175,74.791604
lat,long
13.3499173,74.7916042
lat,long
13.349917,74.7916043
lat,long
13.3499168,74.7916045
lat,long
13.3499167,74.7916046
lat,long
13.3499165,74.7916048
lat,long
13.3499164,74.791605
lat,long
13.3499164,74.7916052
lat,long
13.3499163,74.7916053
lat,long
13.3499161,74.7916052
lat,long
13.3499159,74.7916053
lat,long
13.3499157,74.7916054
