linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,-0.7002744912900004,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,-0.7002744912900004,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,0.7002744912900004,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.5471511553803274,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.5471511553803274,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.4924360398422947,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.4431924358580653,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.48751167944387186,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.5362628473882591,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.589889132127085,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.6488780453397937,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.5672223379449003,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,-0.5672223379449003,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,-0.6239445717393903,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,-0.6863390289133294,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,-0.7549729318046624,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,-0.8304702249851287,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,-0.9135172474836416,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.6488780453397937,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.9135172474836416,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
-0.6488780453397937,0.0,0.0,0.0,0.0,0.0
linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
0.0,0.0,0.0,0.0,0.0,0.0
